"Sample_ID","CXCL13_expression"
"TCGA-XF-A8HG-01",0
"TCGA-XF-A8HH-01",44.6224
"TCGA-XF-A8HI-01",65.2386
NA,NA
"TCGA-XF-A9SH-01",11.0396
"TCGA-XF-A9SJ-01",316.116
"TCGA-XF-A9SP-01",169.927
"TCGA-XF-A9ST-01",6.4421
"TCGA-XF-A9SU-01",163.612
"TCGA-XF-A9SV-01",14.245
"TCGA-XF-A9SZ-01",31.8363
"TCGA-XF-A9T2-01",21.6777
"TCGA-XF-A9T3-01",301.166
"TCGA-XF-A9T4-01",280.989
"TCGA-XF-A9T6-01",59.0527
NA,NA
"TCGA-XF-AAMG-01",86.174
"TCGA-XF-AAMH-01",2.0921
"TCGA-XF-AAMJ-01",162.925
"TCGA-XF-AAML-01",271.985
"TCGA-XF-AAMR-01",12.8581
"TCGA-XF-AAMT-01",79.0248
"TCGA-XF-AAMX-01",30.1587
"TCGA-XF-AAMY-01",17.4421
"TCGA-XF-AAN0-01",239.044
"TCGA-XF-AAN1-01",4.1551
"TCGA-XF-AAN3-01",79.6987
"TCGA-XF-AAN7-01",31.2764
"TCGA-XF-AAN8-01",271.605
"TCGA-YC-A89H-01",35.4449
"TCGA-YC-A8S6-01",49.4405
"TCGA-YC-A9TC-01",8.3082
"TCGA-YF-AA3L-01",1.0373
"TCGA-YF-AA3M-01",2.886
"TCGA-ZF-A9R0-01",216.315
"TCGA-ZF-A9R2-01",4.6446
"TCGA-ZF-A9R3-01",9.7534
"TCGA-ZF-A9R4-01",105.838
"TCGA-ZF-A9R5-01",12.9032
"TCGA-ZF-A9R9-01",105.171
"TCGA-ZF-A9RC-01",19.3353
"TCGA-ZF-A9RE-01",1.5983
"TCGA-ZF-A9RF-01",226.268
NA,NA
"TCGA-ZF-A9RL-01",5.0588
"TCGA-ZF-A9RM-01",1.5516
"TCGA-ZF-AA4N-01",265.414
"TCGA-ZF-AA4R-01",50.6108
"TCGA-ZF-AA4T-01",13.6054
"TCGA-ZF-AA4U-01",11.0935
"TCGA-ZF-AA4V-01",299.698
"TCGA-ZF-AA4W-01",24.1118
"TCGA-ZF-AA4X-01",3.2016
"TCGA-ZF-AA52-01",7.0671
"TCGA-ZF-AA54-01",86.0324
"TCGA-ZF-AA5N-01",6.135
