sample_id,CXCL13_expression,CXCL13_status
TCGA-FD-A5BY-01,820.319,enriched
TCGA-FD-A5BZ-01,128.806,not_enriched
TCGA-FD-A5C0-01,31.4643,not_enriched
TCGA-FD-A5C1-01,1373.88,enriched
TCGA-FD-A62N-01,3448.88,enriched
TCGA-FD-A62O-01,0.0,not_enriched
TCGA-FD-A62P-01,584.846,enriched
TCGA-FD-A62S-01,352.624,not_enriched
TCGA-FD-A6TA-01,537.915,enriched
TCGA-FD-A6TB-01,3337.26,enriched
TCGA-FD-A6TC-01,15.4355,not_enriched
TCGA-FD-A6TD-01,285.281,not_enriched
TCGA-FD-A6TE-01,268.139,not_enriched
TCGA-FD-A6TF-01,502.594,enriched
TCGA-FD-A6TG-01,259.604,not_enriched
TCGA-FD-A6TH-01,103.23,not_enriched
TCGA-FD-A6TI-01,451.141,enriched
TCGA-FD-A6TK-01,743.857,enriched
TCGA-FJ-A3Z7-01,78.4314,not_enriched
TCGA-FJ-A3Z9-01,3.7313,not_enriched
TCGA-FJ-A3ZE-01,5.9477,not_enriched
TCGA-FJ-A3ZF-01,3.6254,not_enriched
TCGA-FJ-A871-01,1.2965,not_enriched
TCGA-FT-A3EE-01,22.0607,not_enriched
TCGA-FT-A61P-01,377.219,not_enriched
TCGA-G2-A2EC-01,29.4991,not_enriched
TCGA-G2-A2EF-01,130.239,not_enriched
TCGA-G2-A2EJ-01,71.3296,not_enriched
TCGA-G2-A2EK-01,728.363,enriched
TCGA-G2-A2EL-01,59.5966,not_enriched
TCGA-G2-A2EO-01,1436.89,enriched
TCGA-G2-A2ES-01,272.086,not_enriched
TCGA-G2-A3IB-01,4.9168,not_enriched
TCGA-G2-A3IE-01,30.4099,not_enriched
TCGA-G2-A3VY-01,2.5543,not_enriched
TCGA-G2-AA3B-01,185.309,not_enriched
TCGA-G2-AA3C-01,1.2541,not_enriched
TCGA-G2-AA3D-01,163.666,not_enriched
TCGA-G2-AA3F-01,0.3975,not_enriched
TCGA-GC-A3BM-01,130.406,not_enriched
TCGA-GC-A3I6-01,84.0062,not_enriched
TCGA-GC-A3OO-01,209.416,not_enriched
TCGA-GC-A3RB-01,36.5239,not_enriched
TCGA-GC-A3RC-01,202.905,not_enriched
TCGA-GC-A3RD-01,3.8911,not_enriched
TCGA-GC-A3WC-01,1012.34,enriched
TCGA-GC-A3YS-01,21.5356,not_enriched
